Latitude,Longitude,Date,Emissions M15,Land Surface Temp Night
25.258,-99.682,12/27/2023,0,0
25.258,-99.682,12/28/2023,0.972,283.46
25.258,-99.682,12/29/2023,0.974,281.76
25.258,-99.682,12/30/2023,0.976,281.2
25.258,-99.682,12/31/2023,0.98,280.34
25.258,-99.682,1/1/2024,0,0
25.258,-99.682,1/2/2024,0,0
25.258,-99.682,1/3/2024,0,0
25.258,-99.682,1/4/2024,0,0
25.258,-99.682,1/5/2024,0,0
25.258,-99.682,1/6/2024,0.982,277.68
25.258,-99.682,1/7/2024,0,0
25.258,-99.682,1/8/2024,0.974,290.66
25.258,-99.682,1/9/2024,0.986,279.86
25.258,-99.682,1/10/2024,0,0
25.258,-99.682,1/11/2024,0,0
25.258,-99.682,1/12/2024,0.984,282.22
25.258,-99.682,1/13/2024,0,0
25.258,-99.682,1/14/2024,0.976,283.76
25.258,-99.682,1/15/2024,0.978,285.4
25.258,-99.682,1/16/2024,0,0
25.258,-99.682,1/17/2024,0.982,271.32
25.258,-99.682,1/18/2024,0,0
25.258,-99.682,1/19/2024,0,0
25.258,-99.682,1/20/2024,0,0
25.258,-99.682,1/21/2024,0,0
25.258,-99.682,1/22/2024,0,0
25.258,-99.682,1/23/2024,0,0
25.258,-99.682,1/24/2024,0,0
25.258,-99.682,1/25/2024,0,0
25.258,-99.682,1/26/2024,0,0
25.258,-99.682,1/27/2024,0,0
25.258,-99.682,1/28/2024,0.98,281.68
25.258,-99.682,1/29/2024,0.978,280.78
25.258,-99.682,1/30/2024,0,0
25.258,-99.682,2/1/2024,0,0
25.258,-99.682,2/2/2024,0.972,289.3
25.258,-99.682,2/3/2024,0.962,290.62
25.258,-99.682,2/4/2024,0.97,286.18
25.258,-99.682,2/5/2024,0.982,283.16
25.258,-99.682,2/6/2024,0.978,281.32
25.258,-99.682,2/7/2024,0.976,285.82
25.258,-99.682,2/8/2024,0.98,288.86
25.258,-99.682,2/9/2024,0.98,283.84
25.258,-99.682,2/10/2024,0,0
25.258,-99.682,2/11/2024,0,0
25.258,-99.682,2/12/2024,0.98,283.8
25.258,-99.682,2/13/2024,0,0
25.258,-99.682,2/14/2024,0,0
25.258,-99.682,2/15/2024,0,0
25.258,-99.682,2/16/2024,0,0
25.258,-99.682,2/17/2024,0,0
25.258,-99.682,2/18/2024,0,0
25.258,-99.682,2/19/2024,0,0
25.258,-99.682,2/20/2024,0.982,283.68
25.258,-99.682,2/21/2024,0.974,289.58
25.258,-99.682,2/22/2024,0.974,291.7
25.258,-99.682,2/23/2024,0.974,291.38
25.258,-99.682,2/24/2024,0.982,284
25.258,-99.682,2/25/2024,0,0
25.258,-99.682,2/26/2024,0.978,291.04
25.258,-99.682,2/27/2024,0.974,293.58
25.258,-99.682,2/28/2024,0.974,291.04
25.258,-99.682,2/29/2024,0,0
25.258,-99.682,3/1/2024,0,0
25.258,-99.682,3/2/2024,0.978,285.1
25.258,-99.682,3/3/2024,0,0
25.258,-99.682,3/4/2024,0,0
25.258,-99.682,3/5/2024,0.972,288.5
25.258,-99.682,3/6/2024,0.98,291
25.258,-99.682,3/7/2024,0,0
25.258,-99.682,3/8/2024,0.974,292.68
25.258,-99.682,3/9/2024,0.982,284.92
25.258,-99.682,3/10/2024,0,0
25.258,-99.682,3/11/2024,0.978,284.7
25.258,-99.682,3/12/2024,0.974,290.66
25.258,-99.682,3/13/2024,0,0
25.258,-99.682,3/14/2024,0.97,295.54
25.258,-99.682,3/15/2024,0,0
25.258,-99.682,3/16/2024,0,0
25.258,-99.682,3/17/2024,0,0
25.258,-99.682,3/18/2024,0,0
25.258,-99.682,3/19/2024,0,0
25.258,-99.682,3/20/2024,0,0
25.258,-99.682,3/21/2024,0,0
25.258,-99.682,3/22/2024,0.97,290.52
25.258,-99.682,3/23/2024,0.978,289.2
25.258,-99.682,3/24/2024,0,0
25.258,-99.682,3/25/2024,0,0
25.258,-99.682,3/26/2024,0.98,289.48
25.258,-99.682,3/27/2024,0.974,287.24
25.258,-99.682,3/28/2024,0.98,287.88
25.258,-99.682,3/29/2024,0.978,291.3
25.258,-99.682,3/30/2024,0.98,292.2
25.258,-99.682,3/31/2024,0.97,295.4
25.258,-99.682,4/1/2024,0,0
25.258,-99.682,4/2/2024,0.978,295.7
25.258,-99.682,4/3/2024,0.982,287.92
25.258,-99.682,4/4/2024,0.978,286
25.258,-99.682,4/5/2024,0.982,290.16
25.258,-99.682,4/6/2024,0,0
25.258,-99.682,4/7/2024,0,0
25.258,-99.682,4/8/2024,0,0
25.258,-99.682,4/9/2024,0,0
25.258,-99.682,4/10/2024,0.976,292
25.258,-99.682,4/11/2024,0.98,289.36
25.258,-99.682,4/12/2024,0.982,290.32
25.258,-99.682,4/13/2024,0,0
25.258,-99.682,4/14/2024,0,0
25.258,-99.682,4/15/2024,0.962,297.74
25.258,-99.682,4/16/2024,0,0
25.258,-99.682,4/17/2024,0,0
25.258,-99.682,4/18/2024,0.942,295.32
25.258,-99.682,4/19/2024,0.964,296.28
25.258,-99.682,4/20/2024,0,0
25.258,-99.682,4/21/2024,0,0
25.258,-99.682,4/22/2024,0,0
25.258,-99.682,4/23/2024,0,0
25.258,-99.682,4/24/2024,0,0
25.258,-99.682,4/26/2024,0,0
25.258,-99.682,4/27/2024,0.97,297.46
25.258,-99.682,4/28/2024,0,0
25.258,-99.682,4/29/2024,0.964,296.24
25.258,-99.682,4/30/2024,0,0
25.258,-99.682,5/1/2024,0.974,296.88
