Latitude,Longitude,Date,Emission M14,Land Surface Temperature Day
25.258,-99.682,5/13/2024,0.984,313.7
25.258,-99.682,5/14/2024,0.49,0
25.258,-99.682,5/15/2024,0.982,318.62
25.258,-99.682,5/16/2024,0.982,322.82
25.258,-99.682,5/17/2024,0.49,0
25.258,-99.682,5/18/2024,0.954,318.06
25.258,-99.682,5/19/2024,0.98,313.12
25.258,-99.682,5/20/2024,0.984,322.42
25.258,-99.682,5/21/2024,0.982,324.5
25.258,-99.682,5/22/2024,0.952,323.36
25.258,-99.682,5/23/2024,0.982,317.3
25.258,-99.682,5/24/2024,0.972,316.74
25.258,-99.682,5/25/2024,0.95,323.58
25.258,-99.682,5/26/2024,0.49,0
25.258,-99.682,5/27/2024,0.49,0
25.258,-99.682,5/28/2024,0.986,317.14
25.258,-99.682,5/29/2024,0.978,306.98
25.258,-99.682,6/4/2024,0.49,0
25.258,-99.682,6/5/2024,0.962,318.44
25.258,-99.682,6/6/2024,0.98,316.58
25.258,-99.682,6/7/2024,0.98,315.88
25.258,-99.682,6/8/2024,0.978,309.64
25.258,-99.682,6/9/2024,0.956,315.34
25.258,-99.682,6/10/2024,0.49,0
25.258,-99.682,6/11/2024,0.984,322.22
25.258,-99.682,6/12/2024,0.98,319.98
25.258,-99.682,6/13/2024,0.98,319.7
25.258,-99.682,6/14/2024,0.98,316.44
25.258,-99.682,6/15/2024,0.976,319.92
25.258,-99.682,6/16/2024,0.976,323.04
25.258,-99.682,6/17/2024,0.978,325.86
25.258,-99.682,6/18/2024,0.98,315.1
25.258,-99.682,6/19/2024,0.49,0
25.258,-99.682,6/20/2024,0.49,0
25.258,-99.682,6/21/2024,0.49,0
25.258,-99.682,6/22/2024,0.49,0
25.258,-99.682,6/23/2024,0.49,0
25.258,-99.682,6/24/2024,0.982,306.2
25.258,-99.682,6/25/2024,0.968,302.02
25.258,-99.682,6/26/2024,0.984,306.3
25.258,-99.682,6/27/2024,0.978,314.48
25.258,-99.682,6/28/2024,0.982,311.64
25.258,-99.682,6/29/2024,0.918,317.42
25.258,-99.682,6/30/2024,0.49,0
25.258,-99.682,7/1/2024,0.49,0
25.258,-99.682,7/2/2024,0.964,311.58
25.258,-99.682,7/3/2024,0.982,315.68
25.258,-99.682,7/4/2024,0.98,314.7
25.258,-99.682,7/5/2024,0.972,303.94
25.258,-99.682,7/6/2024,0.982,306.46
25.258,-99.682,7/7/2024,0.49,0
25.258,-99.682,7/8/2024,0.49,0
25.258,-99.682,7/9/2024,0.986,313.12
25.258,-99.682,7/16/2024,0.966,308.58
25.258,-99.682,7/17/2024,0.49,0
25.258,-99.682,7/18/2024,0.49,0
25.258,-99.682,7/19/2024,0.984,310.24
25.258,-99.682,7/20/2024,0.986,313.74
25.258,-99.682,7/21/2024,0.984,308.74
25.258,-99.682,7/22/2024,0.984,305.62
25.258,-99.682,7/23/2024,0.974,310.9
25.258,-99.682,7/29/2024,0.982,313.88
25.258,-99.682,7/30/2024,0.956,314.24
25.258,-99.682,7/31/2024,0.986,312.04
25.258,-99.682,8/1/2024,0.982,309.98
25.258,-99.682,8/2/2024,0.98,314.74
25.258,-99.682,8/3/2024,0.98,322.02
25.258,-99.682,8/4/2024,0.982,316.24
25.258,-99.682,8/5/2024,0.982,312.58
25.258,-99.682,8/6/2024,0.982,312.76
25.258,-99.682,8/7/2024,0.49,0
25.258,-99.682,8/8/2024,0.98,319.14
25.258,-99.682,8/9/2024,0.978,316.48
25.258,-99.682,8/10/2024,0.978,311.6
25.258,-99.682,8/11/2024,0.49,0
25.258,-99.682,8/12/2024,0.972,313
25.258,-99.682,8/13/2024,0.49,0
25.258,-99.682,8/14/2024,0.984,317.48
25.258,-99.682,8/15/2024,0.94,322.06
25.258,-99.682,8/16/2024,0.49,0
25.258,-99.682,8/17/2024,0.49,0
25.258,-99.682,8/18/2024,0.49,0
25.258,-99.682,8/19/2024,0.49,0
25.258,-99.682,8/20/2024,0.976,320.32
25.258,-99.682,8/21/2024,0.978,317.06
25.258,-99.682,8/22/2024,0.984,313.48
25.258,-99.682,8/23/2024,0.982,314.06
25.258,-99.682,8/24/2024,0.49,0
25.258,-99.682,8/25/2024,0.98,318.54
25.258,-99.682,8/26/2024,0.984,319.84
25.258,-99.682,8/27/2024,0.49,0
25.258,-99.682,8/28/2024,0.972,305.74
25.258,-99.682,8/29/2024,0.982,315.02
25.258,-99.682,8/30/2024,0.49,0
25.258,-99.682,8/31/2024,0.984,311.34
25.258,-99.682,9/1/2024,0.98,316.24
25.258,-99.682,9/2/2024,0.49,0
25.258,-99.682,9/3/2024,0.97,311.8
25.258,-99.682,9/4/2024,0.49,0
25.258,-99.682,9/5/2024,0.49,0
25.258,-99.682,9/6/2024,0.49,0
25.258,-99.682,9/7/2024,0.952,307.96
25.258,-99.682,9/8/2024,0.49,0
25.258,-99.682,9/9/2024,0.49,0
25.258,-99.682,9/10/2024,0.98,314.94
25.258,-99.682,9/11/2024,0.49,0
25.258,-99.682,9/12/2024,0.49,0
25.258,-99.682,9/13/2024,0.49,0
25.258,-99.682,9/14/2024,0.49,0
25.258,-99.682,9/15/2024,0.49,0
25.258,-99.682,9/16/2024,0.49,0
25.258,-99.682,9/17/2024,0.49,0
25.258,-99.682,9/18/2024,0.974,300.56
25.258,-99.682,9/19/2024,0.982,304
25.258,-99.682,9/20/2024,0.49,0
25.258,-99.682,9/21/2024,0.49,0
25.258,-99.682,9/22/2024,0.978,309.2
25.258,-99.682,9/23/2024,0.966,301.98
25.258,-99.682,9/24/2024,0.49,0
25.258,-99.682,9/25/2024,0.984,309.54
25.258,-99.682,9/27/2024,0.49,0
25.258,-99.682,9/28/2024,0.49,0
25.258,-99.682,9/29/2024,0.49,0
25.258,-99.682,9/30/2024,0.976,316.42
25.258,-99.682,10/1/2024,0.98,311.64
25.258,-99.682,10/2/2024,0.978,313.26
25.258,-99.682,10/3/2024,0.98,309.36
